year,month,day,cruise,station,depth_m,temp_C,sal_PSU,density_kg_m-3,PAR,fluor_mg_m-3,turbidity_NTU,O2conc_umol_kg-1,O2sat_percent,pH
2024,9,5,1,1,33.836,15.4371,31.4131,23.1154,6.02E-05,0.9709,1.3689,212.678,84.457,8.358
2024,9,5,1,1,34.006,15.4447,31.4136,23.1141,6.02E-05,0.9773,1.3892,212.349,84.339,8.369
2024,9,5,1,1,34.164,15.4473,31.4134,23.1133,6.02E-05,0.9627,1.366,212.086,84.239,8.381
2024,9,5,1,1,34.286,15.4435,31.4152,23.1156,7.55E-05,0.9471,1.3399,212.077,84.23,8.392
2024,9,5,1,1,34.38,15.4468,31.4145,23.1143,6.02E-05,0.9416,1.2877,212.011,84.209,8.4
2024,9,5,1,1,34.483,15.4457,31.4144,23.1145,6.02E-05,0.9334,1.2007,212.087,84.237,8.408
2024,9,5,1,1,34.593,15.4389,31.4171,23.118,6.02E-05,0.9362,1.1659,212.142,84.249,8.415
2024,9,5,1,1,34.701,15.4389,31.4142,23.1158,6.02E-05,0.9471,1.0616,212.176,84.261,8.422
2024,9,5,1,1,34.734,15.4387,31.4167,23.1178,6.02E-05,0.9481,1.0587,212.435,84.365,8.428
2024,9,5,1,2,0.754,14.7103,31.4857,23.3257,1.86E+03,0.8849,0.818,225.643,88.369,8.077
2024,9,5,1,2,0.76,14.7177,31.4857,23.3241,1.84E+03,0.8739,0.7832,225.732,88.417,8.075
2024,9,5,1,2,0.757,14.7144,31.4845,23.3239,1.69E+03,0.8666,0.8064,225.575,88.349,8.076
2024,9,5,1,2,0.749,14.7166,31.4849,23.3237,1.84E+03,0.8592,0.8296,225.171,88.195,8.075
2024,9,5,1,2,0.74,14.7199,31.4828,23.3214,1.95E+03,0.8483,0.8122,225.179,88.202,8.076
2024,9,5,1,2,0.738,14.7223,31.4817,23.32,1.79E+03,0.8309,0.7832,225.703,88.411,8.076
2024,9,5,1,2,0.747,14.7509,31.4741,23.3081,1.76E+03,0.8309,0.7832,226.219,88.659,8.076
2024,9,5,1,2,0.753,14.7616,31.4741,23.3059,1.76E+03,0.8309,0.7832,226.598,88.827,8.075
